model,house,mae,rmse,r2
naive_baseline,house1,0.044386110441467654,0.11230254715391363,-0.64465252971984
linear_regression,house1,0.01948326124873411,0.06016534084187112,0.5279503208973961
naive_baseline,house2,0.10704342714139949,0.15572953527628736,0.14176956181118505
linear_regression,house2,0.10372150048181497,0.12555176738126816,0.44216263687888213
naive_baseline,house3,0.03296693626589057,0.05458052999517755,-0.3294413564198344
linear_regression,house3,0.04484887851428591,0.05543216471220858,-0.3712522883382472
naive_baseline,house4,0.023367577068706354,0.04009641434471491,-0.10747702941393666
linear_regression,house4,0.03582092004525807,0.053543675473789465,-0.9748768195126112
naive_baseline,house6,0.03045086937245031,0.04607099467477115,0.3563025421243118
linear_regression,house6,0.06938752460720392,0.08573259414513355,-1.22904351363076
